gameID,team,FG,FGA,3P,3PA,FT,FTA,ORB,TOV,DRB
202002050OKC,Oklahoma City Thunder,38,81,9,26,24,30,5,12,35
202002050TOR,Toronto Raptors,43,86,12,32,21,24,7,10,30
202002050UTA,Utah Jazz,36,86,14,39,9,14,7,14,39
202002060CHI,Chicago Bulls,46,93,13,29,14,23,11,15,29
202002060LAL,Los Angeles Lakers,45,91,9,31,12,16,6,15,32
202002060MIL,Milwaukee Bucks,44,94,12,37,12,18,9,14,51
202002060NYK,New York Knicks,43,92,6,20,13,19,10,13,29
202002060POR,Portland Trail Blazers,49,92,18,37,9,12,9,12,41
202002070BOS,Boston Celtics,37,86,16,37,22,27,11,13,36
202002070IND,Indiana Pacers,39,86,10,34,18,22,11,20,36
202002070OKC,Oklahoma City Thunder,39,76,5,23,25,30,9,11,33
202002070PHI,Philadelphia 76ers,48,90,14,25,9,15,10,20,40
202002070PHO,Phoenix Suns,43,77,15,31,26,27,10,23,41
202002070SAC,Sacramento Kings,40,82,19,44,6,12,6,14,30
202002070UTA,Utah Jazz,45,91,10,30,17,24,13,15,43
202002070WAS,Washington Wizards,45,90,19,38,10,13,8,13,31
202002080CHO,Charlotte Hornets,38,87,11,36,13,18,12,10,27
202002080DET,Detroit Pistons,34,69,13,29,11,16,3,16,25
202002080GSW,Golden State Warriors,46,89,13,32,15,23,8,18,25
202002080IND,Indiana Pacers,44,83,9,26,20,27,2,14,35
202002080MIN,Minnesota Timberwolves,52,95,26,44,12,18,9,12,37
202002080ORL,Orlando Magic,37,98,10,40,11,14,10,9,36
202002080PHO,Phoenix Suns,38,87,9,32,23,23,11,13,30
202002080SAC,Sacramento Kings,45,86,19,35,13,20,8,10,31
202002080TOR,Toronto Raptors,45,95,14,35,15,21,13,7,35
202002090ATL,Atlanta Hawks,49,108,14,40,28,31,11,14,39
202002090CLE,Cleveland Cavaliers,35,95,7,33,15,22,16,16,29
202002090HOU,Houston Rockets,44,95,15,42,10,14,7,6,29
202002090OKC,Oklahoma City Thunder,39,86,11,27,22,29,12,10,32
202002090PHI,Philadelphia 76ers,42,84,11,27,23,32,15,16,29
202002090POR,Portland Trail Blazers,40,85,19,42,16,22,5,14,38
202002090WAS,Washington Wizards,35,100,7,33,22,29,9,7,41
202002100DAL,Dallas Mavericks,39,83,15,43,26,31,4,7,22
202002100DEN,Denver Nuggets,45,80,18,35,19,23,9,10,28
202002100DET,Detroit Pistons,29,82,7,35,11,13,19,21,33
202002100GSW,Golden State Warriors,30,77,11,34,30,34,6,15,34
202002100IND,Indiana Pacers,45,92,7,30,8,11,6,6,34
202002100LAL,Los Angeles Lakers,47,91,14,37,17,25,16,16,43
202002100MIL,Milwaukee Bucks,43,96,18,42,19,23,8,13,47
202002100ORL,Orlando Magic,50,95,18,38,17,22,14,10,31
202002100TOR,Toronto Raptors,51,89,17,33,18,23,9,18,32
202002110HOU,Houston Rockets,33,77,13,45,37,42,5,14,40
202002110NOP,New Orleans Pelicans,49,92,14,34,26,32,14,13,36
202002110OKC,Oklahoma City Thunder,39,85,11,31,17,21,6,13,29
202002110PHI,Philadelphia 76ers,44,95,8,27,14,21,11,6,39
202002110WAS,Washington Wizards,48,89,11,32,19,24,9,17,35
202002120BRK,Brooklyn Nets,36,88,9,35,20,25,12,12,43
202002120CLE,Cleveland Cavaliers,48,94,10,28,21,25,17,17,38
202002120DAL,Dallas Mavericks,48,85,17,40,17,21,3,11,44
202002120DEN,Denver Nuggets,44,88,11,25,17,22,3,10,39
202002120IND,Indiana Pacers,45,86,9,27,19,24,8,14,36
202002120MEM,Memphis Grizzlies,45,95,6,23,15,22,15,12,42
202002120MIN,Minnesota Timberwolves,39,101,14,49,16,20,14,11,34
202002120NYK,New York Knicks,36,88,3,23,21,29,14,20,38
202002120ORL,Orlando Magic,44,96,12,36,16,18,9,12,37
202002120PHO,Phoenix Suns,42,91,14,37,14,15,8,14,32
202002120UTA,Utah Jazz,41,85,14,36,20,23,10,14,43
202002130BOS,Boston Celtics,45,103,18,43,33,40,7,14,44
202002130NOP,New Orleans Pelicans,42,86,14,35,20,27,8,17,38
202002200ATL,Atlanta Hawks,41,85,16,35,31,35,6,16,35
202002200CHI,Chicago Bulls,37,87,7,31,12,19,12,13,26
202002200DET,Detroit Pistons,40,83,13,37,13,16,7,21,39
202002200GSW,Golden State Warriors,44,89,7,33,10,12,13,21,27
202002200PHI,Philadelphia 76ers,38,86,4,22,32,35,11,13,37
202002200SAC,Sacramento Kings,42,83,19,39,26,36,3,10,24
202002210LAL,Los Angeles Lakers,41,86,9,29,26,40,12,14,37
202002210MIN,Minnesota Timberwolves,36,89,15,42,30,35,8,8,35
202002210NYK,New York Knicks,35,81,11,25,17,25,5,15,35
202002210OKC,Oklahoma City Thunder,40,87,9,26,24,27,14,12,30
202002210ORL,Orlando Magic,41,104,9,43,15,19,16,7,32
202002210POR,Portland Trail Blazers,43,94,10,27,19,25,13,14,33
202002210TOR,Toronto Raptors,42,80,14,37,20,22,7,22,41
202002210UTA,Utah Jazz,35,82,12,33,22,26,6,17,41
202002210WAS,Washington Wizards,41,106,9,37,17,23,17,11,30
202002220ATL,Atlanta Hawks,43,98,8,37,17,26,13,10,40
202002220CHI,Chicago Bulls,36,83,14,38,18,21,11,25,27
202002220CHO,Charlotte Hornets,31,88,12,35,12,21,9,12,36
202002220LAC,Los Angeles Clippers,34,87,10,30,25,29,13,19,34
202002220MIA,Miami Heat,45,79,19,40,15,20,4,15,25
202002220MIL,Milwaukee Bucks,48,91,14,41,9,13,8,17,49
202002220UTA,Utah Jazz,42,90,7,31,19,24,6,13,40
202002230CHI,Chicago Bulls,45,81,18,37,18,28,10,26,27
202002230DEN,Denver Nuggets,53,90,11,30,11,17,5,13,33
202002230GSW,Golden State Warriors,40,92,11,35,10,15,11,13,37
202002230LAL,Los Angeles Lakers,39,86,11,34,25,37,11,13,35
202002230OKC,Oklahoma City Thunder,50,87,10,22,21,24,6,12,48
202002230POR,Portland Trail Blazers,41,84,13,30,12,19,9,10,32
202002230TOR,Toronto Raptors,47,92,17,44,16,18,10,17,47
202002240BRK,Brooklyn Nets,46,96,16,37,5,8,13,12,36
202002240CLE,Cleveland Cavaliers,43,97,14,37,25,34,13,12,40
202002240DAL,Dallas Mavericks,51,101,16,44,21,28,14,12,40
202002240HOU,Houston Rockets,43,86,16,48,21,31,5,13,33
202002240LAC,Los Angeles Clippers,47,94,16,37,14,17,11,12,39
202002240PHI,Philadelphia 76ers,45,88,12,30,27,30,9,11,39
202002240UTA,Utah Jazz,32,68,10,26,37,43,5,19,25
202002240WAS,Washington Wizards,47,98,15,35,25,33,6,17,35
202002250CHI,Chicago Bulls,52,97,12,31,6,9,13,11,26
202002250DEN,Denver Nuggets,44,76,9,19,18,22,9,18,32
202002250GSW,Golden State Warriors,35,79,4,28,20,24,5,16,29
202002250IND,Indiana Pacers,49,86,10,23,11,13,7,14,49
